dept_cd	audit_user	audit_date	descs
042900	MGR	1/1/2014 00:00:00	BDI BULUKUMBA SAM RATULANGI             
073100	MGR	1/1/2014 00:00:00	BDI CEPU DIPONEGORO                     
021000	MGR	1/1/2014 00:00:00	BDI CIANJUR COKROAMINOTO                
012200	MGR	1/1/2014 00:00:00	BDI CIBUBUR TIMES SQUARE                
006900	MGR	1/1/2014 00:00:00	BDI CIKAMPEK A YANI                     
070100	MGR	1/1/2014 00:00:00	BDI CILACAP SUDIRMAN                    
022000	MGR	1/1/2014 00:00:00	BDI CILEDUG MERDEKA                     
004600	MGR	1/1/2014 00:00:00	BDI CILEGON RAYA MERAK                  
006300	MGR	1/1/2014 00:00:00	BDI CILEGON SERANG                      
021900	MGR	1/1/2014 00:00:00	BDI CIMAHI-CIBABAT
021600	MGR	1/1/2014 00:00:00	BDI CIPANAS - RAYA CIPANAS
023400	MGR	1/1/2014 00:00:00	BDI CIREBON - TEGALWANGI
023100	MGR	1/1/2014 00:00:00	BDI CIREBON KARTINI
020300	MGR	1/1/2014 00:00:00	BDI CIREBON YOS SUDARSO                 
068100	MGR	1/1/2014 00:00:00	BDI DELI SERDANG - SUTOMO
073700	MGR	1/1/2014 00:00:00	BDI DEMAK SULTAN PATAH                  
036500	MGR	1/1/2014 00:00:00	BDI DENPASAR - GATOT SUBROTO
034600	MGR	1/1/2014 00:00:00	BDI DENPASAR - NUSA DUA
036000	MGR	1/1/2014 00:00:00	BDI DENPASAR - TEUKU UMAR
036800	MGR	1/1/2014 00:00:00	BDI DENPASAR - UBUD
035000	MGR	1/1/2014 00:00:00	BDI DENPASAR DIPONEGORO                 
031000	MGR	1/1/2014 00:00:00	BDI DENPASAR GUNUNG AGUNG               
031800	MGR	1/1/2014 00:00:00	BDI DENPASAR HAYAM WURUK                
017600	MGR	1/1/2014 00:00:00	BDI DEPOK - TOLE ISKANDAR
062300	MGR	1/1/2014 00:00:00	BDI DUMAI SUKAJADI                      
062500	MGR	1/1/2014 00:00:00	BDI DURI SUDIRMAN                       
035500	MGR	1/1/2014 00:00:00	BDI ENDE SOEKARNO                       
022200	MGR	1/1/2014 00:00:00	BDI GARUT - CILEDUG
038700	MGR	1/1/2014 00:00:00	BDI GIANYAR - DHARMA GIRI
072100	MGR	1/1/2014 00:00:00	BDI GOMBONG YOS SUDARSO                 
041300	MGR	1/1/2014 00:00:00	BDI GORONTALO - A. YANI
032600	MGR	1/1/2014 00:00:00	BDI GRESIK KARTINI                      
037800	MGR	1/1/2014 00:00:00	BDI GRESIK USMAN SADAR
064800	MGR	1/1/2014 00:00:00	BDI GUNUNG SITOLI DIP0NEGORO            
051200	MGR	1/1/2014 00:00:00	BDI GUSHER PLAZA TARAKAN                
067900	MGR	1/1/2014 00:00:00	BDI INDRAGIRI HILIR - M. BOYA
067800	MGR	1/1/2014 00:00:00	BDI INDRAGIRI HULU - SULTAN
017900	MGR	1/1/2014 00:00:00	BDI JAKARTA  - MENARA JAMSOSTEK
002900	MGR	1/1/2014 00:00:00	BDI JAKARTA - ABDUL MUIS
019500	MGR	1/1/2014 00:00:00	BDI JAKARTA - ADIRA MT HARYONO
004800	MGR	1/1/2014 00:00:00	BDI JAKARTA - AGUS SALIM
015600	MGR	1/1/2014 00:00:00	BDI JAKARTA - ALLIANZ TOWER
013000	MGR	1/1/2014 00:00:00	BDI JAKARTA - AMPERA RAYA
018900	MGR	1/1/2014 00:00:00	BDI JAKARTA - ARTERI PONDOK INDAH
012100	MGR	1/1/2014 00:00:00	BDI JAKARTA - ARTHA GADING
009000	MGR	1/1/2014 00:00:00	BDI JAKARTA - BEJ
005000	MGR	1/1/2014 00:00:00	BDI JAKARTA - BENHIL
014200	MGR	1/1/2014 00:00:00	BDI JAKARTA - BIAK
011200	MGR	1/1/2014 00:00:00	BDI JAKARTA - BIDAKARA
018500	MGR	1/1/2014 00:00:00	BDI JAKARTA - BONA INDAH
016300	MGR	1/1/2014 00:00:00	BDI JAKARTA - BOULEVARD RAYA
014500	MGR	1/1/2014 00:00:00	BDI JAKARTA - BUARAN RAYA
013700	MGR	1/1/2014 00:00:00	BDI JAKARTA - CBD PLUIT
018000	MGR	1/1/2014 00:00:00	BDI JAKARTA - CENTRAL PARK
009800	MGR	1/1/2014 00:00:00	BDI JAKARTA - CIDENG TIMUR
005100	MGR	1/1/2014 00:00:00	BDI JAKARTA - CIKINI
005500	MGR	1/1/2014 00:00:00	BDI JAKARTA - CILEDUG RAYA
002500	MGR	1/1/2014 00:00:00	BDI JAKARTA - CINERE
010800	MGR	1/1/2014 00:00:00	BDI JAKARTA - CITRA GARDEN II
010900	MGR	1/1/2014 00:00:00	BDI JAKARTA - CITRALAND
006200	MGR	1/1/2014 00:00:00	BDI JAKARTA - DAAN MOGOT
015200	MGR	1/1/2014 00:00:00	BDI JAKARTA - DAAN MOGOT BARU
003500	MGR	1/1/2014 00:00:00	BDI JAKARTA - DANAU SUNTER
003600	MGR	1/1/2014 00:00:00	BDI JAKARTA - DEPOK MARGONDA
010500	MGR	1/1/2014 00:00:00	BDI JAKARTA - DURI KOSAMSI
016200	MGR	1/1/2014 00:00:00	BDI JAKARTA - DUTA INDAH SQUARE
009300	MGR	1/1/2014 00:00:00	BDI JAKARTA - DUTA MAS FATMAWATI
019400	MGR	1/1/2014 00:00:00	BDI JAKARTA - ELANG LAUT BOULEVARD
007300	MGR	1/1/2014 00:00:00	BDI JAKARTA - ENGGANO
001800	MGR	1/1/2014 00:00:00	BDI JAKARTA - FATMAWATI
005600	MGR	1/1/2014 00:00:00	BDI JAKARTA - GAJAH MADA
001100	MGR	1/1/2014 00:00:00	BDI JAKARTA - GLODOK PLAZA 1
004900	MGR	1/1/2014 00:00:00	BDI JAKARTA - GREEN GARDEN
010000	MGR	1/1/2014 00:00:00	BDI JAKARTA - GREEN VILLE
008900	MGR	1/1/2014 00:00:00	BDI JAKARTA - GRIYA UTAMA SUNTER
000400	MGR	1/1/2014 00:00:00	BDI JAKARTA - GROGOL MUWARDI
001400	MGR	1/1/2014 00:00:00	BDI JAKARTA - HASYIM ASHARI
011900	MGR	1/1/2014 00:00:00	BDI JAKARTA - ITC CEMPAKA MAS
019200	MGR	1/1/2014 00:00:00	BDI JAKARTA - JALAN PANJANG
007700	MGR	1/1/2014 00:00:00	BDI JAKARTA - JELAMBAR
004300	MGR	1/1/2014 00:00:00	BDI JAKARTA - JEMBATAN LIMA
004400	MGR	1/1/2014 00:00:00	BDI JAKARTA - KALIBATA
004700	MGR	1/1/2014 00:00:00	BDI JAKARTA - KALIMALANG TARUM
001300	MGR	1/1/2014 00:00:00	BDI JAKARTA - KAPUK TELUK GONG
004200	MGR	1/1/2014 00:00:00	BDI JAKARTA - KB. JRK INTERCOM
001500	MGR	1/1/2014 00:00:00	BDI JAKARTA - KEBUN SIRIH
001600	MGR	1/1/2014 00:00:00	BDI JAKARTA - KELAPA GADING 1
007500	MGR	1/1/2014 00:00:00	BDI JAKARTA - KELAPA GADING II
012300	MGR	1/1/2014 00:00:00	BDI JAKARTA - KELAPA GADING SQUARE
007800	MGR	1/1/2014 00:00:00	BDI JAKARTA - KENARI
017700	MGR	1/1/2014 00:00:00	BDI JAKARTA - KH ZAINUL ARIFIN
015100	MGR	1/1/2014 00:00:00	BDI JAKARTA - KRAMAT JAYA
018300	MGR	1/1/2014 00:00:00	BDI JAKARTA - LANDMARK 
